  kx         ky         kz
  2.408988   0.012721   -6.283185  
  2.213262   0.364154   -6.283185  
  2.011790   0.578212   -6.283185  
  1.821793   0.769310   -6.283185  
  1.640998   0.949428   -6.283185  
  1.466342   1.123481   -6.283185  
  1.294806   1.294806   -6.283185  
  1.294806   1.294806   -6.283185  
  1.123481   1.466342   -6.283185  
  0.949428   1.640998   -6.283185  
  0.769310   1.821793   -6.283185  
  0.578212   2.011790   -6.283185  
  0.364154   2.213262   -6.283185  
  0.012721   2.408988   -6.283185  
  -0.012721   2.408988   -6.283185  
  -0.364154   2.213262   -6.283185  
  -0.578212   2.011790   -6.283185  
  -0.769310   1.821793   -6.283185  
  -0.949428   1.640998   -6.283185  
  -1.123481   1.466342   -6.283185  
  -1.294806   1.294806   -6.283185  
  -1.294806   1.294806   -6.283185  
  -1.466342   1.123481   -6.283185  
  -1.640998   0.949428   -6.283185  
  -1.821793   0.769310   -6.283185  
  -2.011790   0.578212   -6.283185  
  -2.213262   0.364154   -6.283185  
  -2.408988   0.012721   -6.283185  
  -2.408988   -0.012721   -6.283185  
  -2.213262   -0.364154   -6.283185  
  -2.011790   -0.578212   -6.283185  
  -1.821793   -0.769310   -6.283185  
  -1.640998   -0.949428   -6.283185  
  -1.466342   -1.123481   -6.283185  
  -1.294806   -1.294806   -6.283185  
  -1.294806   -1.294806   -6.283185  
  -1.123481   -1.466342   -6.283185  
  -0.949428   -1.640998   -6.283185  
  -0.769310   -1.821793   -6.283185  
  -0.578212   -2.011790   -6.283185  
  -0.364154   -2.213262   -6.283185  
  -0.012721   -2.408988   -6.283185  
  0.012721   -2.408988   -6.283185  
  0.364154   -2.213262   -6.283185  
  0.578212   -2.011790   -6.283185  
  0.769310   -1.821793   -6.283185  
  0.949428   -1.640998   -6.283185  
  1.123481   -1.466342   -6.283185  
  1.294806   -1.294806   -6.283185  
  1.294806   -1.294806   -6.283185  
  1.466342   -1.123481   -6.283185  
  1.640998   -0.949428   -6.283185  
  1.821793   -0.769310   -6.283185  
  2.011790   -0.578212   -6.283185  
  2.213262   -0.364154   -6.283185  
  2.408988   -0.012721   -6.283185  
  2.408988   0.012721   -6.283185  


  2.410421   0.018839   -6.026729  
  2.213583   0.365117   -6.026729  
  2.012009   0.578708   -6.026729  
  1.821930   0.769557   -6.026729  
  1.641065   0.949527   -6.026729  
  1.466360   1.123503   -6.026729  
  1.294806   1.294806   -6.026729  
  1.294806   1.294806   -6.026729  
  1.123503   1.466360   -6.026729  
  0.949527   1.641065   -6.026729  
  0.769557   1.821930   -6.026729  
  0.578708   2.012009   -6.026729  
  0.365117   2.213583   -6.026729  
  0.018839   2.410421   -6.026729  
  -0.018839   2.410421   -6.026729  
  -0.365117   2.213583   -6.026729  
  -0.578708   2.012009   -6.026729  
  -0.769557   1.821930   -6.026729  
  -0.949527   1.641065   -6.026729  
  -1.123503   1.466360   -6.026729  
  -1.294806   1.294806   -6.026729  
  -1.294806   1.294806   -6.026729  
  -1.466360   1.123503   -6.026729  
  -1.641065   0.949527   -6.026729  
  -1.821930   0.769557   -6.026729  
  -2.012009   0.578708   -6.026729  
  -2.213583   0.365117   -6.026729  
  -2.410421   0.018839   -6.026729  
  -2.410421   -0.018839   -6.026729  
  -2.213583   -0.365117   -6.026729  
  -2.012009   -0.578708   -6.026729  
  -1.821930   -0.769557   -6.026729  
  -1.641065   -0.949527   -6.026729  
