            t            kx            ky            kz         vbarx         vbary         vbarz
     0.100000      0.360745      2.432565     -2.435111      1.013113      0.797043     -0.064154 
     0.200000      0.364888      2.427389     -2.433869      1.016277      0.798137     -0.064046 
     0.300000      0.369059      2.422160     -2.432612      1.019427      0.799241     -0.063936 
     0.400000      0.373257      2.416879     -2.431339      1.022563      0.800355     -0.063824 
     0.500000      0.377484      2.411545     -2.430050      1.025686      0.801478     -0.063709 
     0.600000      0.381738      2.406158     -2.428747      1.028794      0.802611     -0.063593 
     0.700000      0.386021      2.400719     -2.427427      1.031888      0.803754     -0.063474 
     0.800000      0.390333      2.395226     -2.426093      1.034968      0.804907     -0.063353 
     0.900000      0.394673      2.389681     -2.424743      1.038034      0.806069     -0.063230 
     1.000000      0.399044      2.384082     -2.423377      1.041085      0.807241     -0.063105 
     1.100000      0.403443      2.378430     -2.421996      1.044121      0.808422     -0.062977 
     1.200000      0.407873      2.372725     -2.420600      1.047143      0.809613     -0.062847 
     1.300000      0.412333      2.366966     -2.419189      1.050149      0.810813     -0.062715 
     1.400000      0.416823      2.361154     -2.417762      1.053140      0.812022     -0.062580 
     1.500000      0.421344      2.355288     -2.416320      1.056116      0.813241     -0.062443 
     1.600000      0.425897      2.349369     -2.414863      1.059077      0.814468     -0.062304 
     1.700000      0.430481      2.343396     -2.413390      1.062022      0.815705     -0.062162 
     1.800000      0.435096      2.337369     -2.411903      1.064951      0.816951     -0.062018 
     1.900000      0.439744      2.331288     -2.410400      1.067864      0.818206     -0.061871 
     2.000000      0.444424      2.325153     -2.408882      1.070760      0.819470     -0.061722 
     2.100000      0.449136      2.318965     -2.407349      1.073641      0.820743     -0.061570 
     2.200000      0.453882      2.312722     -2.405801      1.076505      0.822025     -0.061416 
     2.300000      0.458661      2.306426     -2.404238      1.079352      0.823315     -0.061259 
     2.400000      0.463473      2.300075     -2.402660      1.082182      0.824614     -0.061099 
     2.500000      0.468320      2.293670     -2.401068      1.084995      0.825922     -0.060937 
     2.600000      0.473200      2.287212     -2.399461      1.087791      0.827238     -0.060773 
     2.700000      0.478115      2.280699     -2.397838      1.090569      0.828563     -0.060605 
     2.800000      0.483065      2.274132     -2.396202      1.093330      0.829896     -0.060435 
     2.900000      0.488051      2.267511     -2.394550      1.096072      0.831238     -0.060263 
     3.000000      0.493071      2.260837     -2.392885      1.098797      0.832587     -0.060088 
     3.100000      0.498127      2.254108     -2.391204      1.101502      0.833945     -0.059910 
     3.200000      0.503220      2.247325     -2.389510      1.104190      0.835311     -0.059729 
     3.300000      0.508349      2.240488     -2.387801      1.106858      0.836685     -0.059546 
     3.400000      0.513514      2.233598     -2.386078      1.109507      0.838067     -0.059360 
     3.500000      0.518717      2.226653     -2.384340      1.112136      0.839457     -0.059171 
     3.600000      0.523957      2.219655     -2.382589      1.114747      0.840855     -0.058979 
     3.700000      0.529234      2.212604     -2.380824      1.117337      0.842260     -0.058785 
     3.800000      0.534550      2.205498     -2.379045      1.119907      0.843672     -0.058588 
     3.900000      0.539903      2.198340     -2.377252      1.122456      0.845092     -0.058389 
     4.000000      0.545296      2.191128     -2.375446      1.124985      0.846520     -0.058186 
     4.100000      0.550727      2.183862     -2.373626      1.127493      0.847955     -0.057981 
     4.200000      0.556197      2.176544     -2.371793      1.129980      0.849396     -0.057773 
     4.300000      0.561707      2.169173     -2.369946      1.132446      0.850845     -0.057563 
     4.400000      0.567257      2.161749     -2.368087      1.134889      0.852301     -0.057349 
     4.500000      0.572847      2.154272     -2.366214      1.137311      0.853763     -0.057133 
     4.600000      0.578477      2.146743     -2.364328      1.139710      0.855232     -0.056914 
     4.700000      0.584148      2.139162     -2.362430      1.142087      0.856708     -0.056693 
     4.800000      0.589860      2.131529     -2.360519      1.144440      0.858190     -0.056469 
     4.900000      0.595613      2.123843     -2.358596      1.146771      0.859678     -0.056242 
     5.000000      0.601408      2.116107     -2.356660      1.149078      0.861173     -0.056012 
     5.100000      0.607244      2.108319     -2.354712      1.151361      0.862673     -0.055780 
     5.200000      0.613123      2.100479     -2.352752      1.153620      0.864179     -0.055545 
     5.300000      0.619045      2.092589     -2.350780      1.155855      0.865691     -0.055308 
     5.400000      0.625009      2.084649     -2.348797      1.158065      0.867208     -0.055068 
     5.500000      0.631016      2.076658     -2.346802      1.160250      0.868731     -0.054826 
     5.600000      0.637066      2.068617     -2.344796      1.162410      0.870259     -0.054580 
     5.700000      0.643161      2.060526     -2.342778      1.164544      0.871792     -0.054333 
     5.800000      0.649299      2.052387     -2.340750      1.166652      0.873329     -0.054083 
     5.900000      0.655481      2.044198     -2.338711      1.168734      0.874872     -0.053830 
     6.000000      0.661707      2.035960     -2.336661      1.170789      0.876418     -0.053575 
     6.100000      0.667978      2.027675     -2.334601      1.172817      0.877969     -0.053318 
     6.200000      0.674294      2.019342     -2.332531      1.174818      0.879525     -0.053058 
     6.300000      0.680655      2.010961     -2.330451      1.176791      0.881084     -0.052796 
     6.400000      0.687062      2.002533     -2.328361      1.178736      0.882646     -0.052532 
     6.500000      0.693514      1.994059     -2.326262      1.180653      0.884212     -0.052265 
     6.600000      0.700012      1.985539     -2.324154      1.182541      0.885782     -0.051996 
